pitcher_id,tempo22_w,pitches22,baseline_group
425794,16.797,538.0,T1
425844,17.661,411.0,T2
434378,20.144,308.0,T3
434671,17.19,170.0,T2
445276,25.579,127.0,T3
445926,13.685,248.0,T1
446321,19.689,93.0,T3
446372,16.956,349.0,T1
448179,15.306,311.0,T1
450203,17.319,422.0,T2
453178,21.031,163.0,T3
453268,21.406,150.0,T3
453286,16.612,221.0,T1
453343,20.558,168.0,T3
455119,22.917,143.0,T3
456034,20.915,88.0,T3
456501,15.651,347.0,T1
456713,19.177,127.0,T2
458681,19.336,309.0,T2
459429,20.066,110.0,T3
468504,16.582,163.0,T1
471911,17.695,346.0,T2
472610,21.946,169.0,T3
475479,16.666,257.0,T1
476595,19.796,180.0,T3
477132,15.982,219.0,T1
488984,16.817,62.0,T1
489119,11.367,94.0,T1
489265,19.733,71.0,T3
489334,21.484,139.0,T3
493603,21.139,199.0,T3
500779,17.632,432.0,T2
501381,16.668,83.0,T1
501625,18.042,72.0,T2
501925,16.09,95.0,T1
501985,15.276,306.0,T1
502042,20.227,286.0,T3
502043,19.888,418.0,T3
502085,17.371,202.0,T2
502171,16.85,387.0,T1
502179,16.562,300.0,T1
502202,17.407,234.0,T2
502624,14.407,68.0,T1
503285,21.63,69.0,T3
503449,18.402,153.0,T2
506433,20.938,374.0,T3
517008,23.552,134.0,T3
518489,19.98,147.0,T3
518516,17.441,481.0,T2
518553,16.996,252.0,T1
518617,23.533,301.0,T3
518748,22.445,59.0,T3
518876,16.974,429.0,T1
518886,22.748,216.0,T3
519008,17.364,108.0,T2
519043,19.883,170.0,T3
519151,23.67,88.0,T3
519293,20.128,146.0,T3
519326,24.262,208.0,T3
521230,22.097,142.0,T3
523260,23.086,149.0,T3
527048,18.191,535.0,T2
528748,17.749,149.0,T2
541640,21.816,164.0,T3
542585,21.803,106.0,T3
542881,17.418,314.0,T2
542888,21.066,183.0,T3
542914,20.431,154.0,T3
542947,18.976,134.0,T2
543037,17.599,437.0,T2
543101,15.954,69.0,T1
543135,17.767,242.0,T2
543238,22.128,76.0,T3
543243,17.667,282.0,T2
543272,22.912,180.0,T3
543294,16.989,199.0,T1
543339,23.763,71.0,T3
543475,15.517,464.0,T1
543507,20.617,112.0,T3
543521,16.319,200.0,T1
543606,19.158,246.0,T2
543766,18.194,202.0,T2
544365,20.092,139.0,T3
544727,21.749,171.0,T3
545343,20.09,116.0,T3
547001,20.749,58.0,T3
547179,16.377,277.0,T1
547943,19.085,56.0,T2
547973,24.38,118.0,T3
548384,18.325,140.0,T2
548389,17.136,258.0,T1
554340,20.446,181.0,T3
554430,16.643,329.0,T1
554431,21.553,137.0,T3
570257,18.442,156.0,T2
570488,18.48,75.0,T2
570632,16.557,280.0,T1
570663,22.09,76.0,T3
570666,18.884,189.0,T2
571479,24.586,198.0,T3
571578,16.043,457.0,T1
571656,20.099,168.0,T3
571670,19.697,148.0,T3
571710,17.249,220.0,T2
571760,15.303,160.0,T1
571800,17.643,290.0,T2
571882,14.426,72.0,T1
571901,18.617,195.0,T2
571927,14.39,120.0,T1
571945,14.902,428.0,T1
571948,15.528,273.0,T1
572070,18.357,96.0,T2
572193,21.905,135.0,T3
572403,18.365,88.0,T2
572955,21.738,55.0,T3
572971,17.131,243.0,T1
573009,18.811,156.0,T2
573124,22.27,212.0,T3
573186,16.52,322.0,T1
573204,20.632,169.0,T3
579328,19.896,329.0,T3
592094,22.096,123.0,T3
592332,20.331,350.0,T3
592346,15.021,69.0,T1
592351,18.548,289.0,T2
592390,21.825,109.0,T3
592473,19.898,69.0,T3
592662,18.49,378.0,T2
592716,18.08,241.0,T2
592717,17.81,149.0,T2
592741,19.59,78.0,T3
592761,18.152,225.0,T2
592767,15.477,234.0,T1
592773,22.514,172.0,T3
592789,19.173,315.0,T2
592791,17.123,419.0,T1
592804,15.202,101.0,T1
592826,20.185,214.0,T3
592836,15.073,332.0,T1
592858,18.249,232.0,T2
592866,17.173,204.0,T2
593334,16.007,156.0,T1
593423,18.652,328.0,T2
593576,19.348,162.0,T2
593619,20.573,79.0,T3
593958,15.436,250.0,T1
593974,16.651,116.0,T1
594311,15.876,111.0,T1
594577,17.417,123.0,T2
594580,21.935,175.0,T3
594798,17.073,59.0,T1
594835,15.235,439.0,T1
595345,18.405,202.0,T2
595881,20.657,230.0,T3
596001,14.61,284.0,T1
596057,18.557,179.0,T2
596071,21.271,107.0,T3
596082,18.765,82.0,T2
596112,20.987,142.0,T3
596133,18.253,144.0,T2
596295,15.109,305.0,T1
598264,22.813,121.0,T3
598287,23.1,145.0,T3
600917,19.712,164.0,T3
600921,19.574,199.0,T2
601713,17.008,513.0,T1
605130,20.846,213.0,T3
605135,17.943,488.0,T2
605151,18.253,56.0,T2
605154,14.175,230.0,T1
605164,15.853,278.0,T1
605177,19.662,148.0,T3
605182,19.012,252.0,T2
605194,16.746,129.0,T1
605195,17.635,74.0,T2
605200,16.15,357.0,T1
605218,19.196,210.0,T2
605242,16.658,210.0,T1
605280,21.818,183.0,T3
605288,15.754,340.0,T1
605347,20.608,219.0,T3
605397,16.906,432.0,T1
605400,20.119,378.0,T3
605447,20.521,180.0,T3
605463,15.416,72.0,T1
605483,19.018,326.0,T2
605488,19.623,319.0,T3
605507,19.819,329.0,T3
605521,20.016,127.0,T3
605525,21.228,89.0,T3
605538,20.342,129.0,T3
605540,19.756,337.0,T3
606131,13.07,50.0,T1
606149,25.811,143.0,T3
606160,19.997,182.0,T3
606303,18.353,176.0,T2
606424,19.766,168.0,T3
606625,19.392,115.0,T2
606930,21.47,60.0,T3
607074,18.922,393.0,T2
607179,19.875,100.0,T3
607200,17.294,494.0,T2
607216,19.93,167.0,T3
607237,16.864,197.0,T1
607259,17.727,286.0,T2
607455,18.862,126.0,T2
607481,22.853,150.0,T3
607536,17.201,458.0,T2
607625,16.988,196.0,T1
608032,17.559,169.0,T2
608328,20.88,229.0,T3
608331,18.031,404.0,T2
608337,20.683,436.0,T3
608344,14.068,402.0,T1
608349,19.056,164.0,T2
608379,15.658,265.0,T1
608566,14.622,393.0,T1
608638,25.678,58.0,T3
608648,16.946,122.0,T1
608652,18.865,63.0,T2
608665,19.722,201.0,T3
608678,24.791,104.0,T3
608717,20.353,219.0,T3
608718,12.626,179.0,T1
608723,20.778,314.0,T3
612434,18.327,140.0,T2
614179,20.647,238.0,T3
615698,14.835,438.0,T1
617228,20.105,183.0,T3
621016,17.23,183.0,T2
621051,21.78,148.0,T3
621074,17.605,172.0,T2
621076,18.114,393.0,T2
621082,19.336,82.0,T2
621107,16.907,180.0,T1
621111,15.994,156.0,T1
621112,20.881,265.0,T3
621121,16.612,142.0,T1
621219,16.589,53.0,T1
621237,22.024,185.0,T3
621242,17.393,139.0,T2
621244,15.365,450.0,T1
621248,18.186,95.0,T2
621249,20.119,189.0,T3
621295,19.536,100.0,T2
621345,23.029,176.0,T3
621363,20.468,146.0,T3
621366,21.995,79.0,T3
621368,19.125,325.0,T2
621381,20.62,157.0,T3
621383,16.598,142.0,T1
621389,13.978,132.0,T1
621593,19.141,61.0,T2
622065,14.315,101.0,T1
622072,15.097,369.0,T1
622075,17.439,74.0,T2
622098,18.149,139.0,T2
622250,22.68,76.0,T3
622251,23.927,147.0,T3
622253,17.318,193.0,T2
622491,15.325,385.0,T1
622503,15.226,155.0,T1
622554,19.717,135.0,T3
622608,15.435,318.0,T1
622663,16.258,212.0,T1
622694,17.086,158.0,T1
622786,17.494,74.0,T2
623149,21.539,137.0,T3
623167,17.467,316.0,T2
623211,18.131,137.0,T2
623352,22.113,180.0,T3
623451,16.858,184.0,T1
623465,20.653,148.0,T3
623474,18.136,179.0,T2
623485,17.04,84.0,T1
624133,16.398,426.0,T1
624522,16.074,322.0,T1
625643,22.812,177.0,T3
628452,16.663,156.0,T1
628708,19.145,164.0,T2
628711,19.9,306.0,T3
640444,16.75,233.0,T1
640448,25.543,174.0,T3
640451,21.353,127.0,T3
640455,15.532,355.0,T1
640462,18.683,190.0,T2
641154,18.794,363.0,T2
641302,18.269,254.0,T2
641329,19.717,220.0,T3
641360,21.682,135.0,T3
641401,19.914,150.0,T3
641447,20.96,92.0,T3
641482,14.99,289.0,T1
641501,17.169,104.0,T1
641540,16.512,425.0,T1
641582,23.741,147.0,T3
641627,16.62,152.0,T1
641712,16.414,417.0,T1
641726,18.023,108.0,T2
641729,17.494,125.0,T2
641745,15.359,335.0,T1
641755,22.551,50.0,T3
641771,16.112,406.0,T1
641778,15.388,424.0,T1
641793,17.408,137.0,T2
641816,17.03,338.0,T1
641835,17.525,123.0,T2
641927,16.026,111.0,T1
641941,23.83,199.0,T3
642028,14.76,66.0,T1
642100,18.775,67.0,T2
642121,17.248,93.0,T2
642130,19.251,62.0,T2
642152,19.227,218.0,T2
642203,16.455,56.0,T1
642207,24.717,172.0,T3
642231,23.992,88.0,T3
642232,18.361,226.0,T2
642397,19.118,218.0,T2
642528,25.761,152.0,T3
642545,16.047,183.0,T1
642546,20.115,97.0,T3
642547,17.632,197.0,T2
642585,20.165,142.0,T3
642701,22.92,238.0,T3
642758,21.468,140.0,T3
642770,19.544,57.0,T2
643256,17.875,202.0,T2
643290,17.631,70.0,T2
643316,17.261,63.0,T2
643377,20.084,213.0,T3
643410,17.845,183.0,T2
643493,16.083,104.0,T1
643511,17.04,248.0,T1
643615,17.932,64.0,T2
644364,22.408,143.0,T3
645261,15.462,393.0,T1
647315,20.978,116.0,T3
650204,17.597,91.0,T2
650556,21.246,192.0,T3
650633,21.497,152.0,T3
650644,17.45,233.0,T2
650671,21.128,155.0,T3
650893,20.862,110.0,T3
650895,20.107,133.0,T3
650911,15.965,121.0,T1
656061,17.937,138.0,T2
656222,18.718,187.0,T2
656234,18.046,151.0,T2
656257,20.105,105.0,T3
656271,18.661,231.0,T2
656302,18.427,417.0,T2
656322,19.508,50.0,T2
656353,15.405,175.0,T1
656354,17.102,230.0,T1
656412,15.668,192.0,T1
656427,17.455,141.0,T2
656457,15.337,67.0,T1
656458,18.367,182.0,T2
656464,18.987,87.0,T2
656529,18.246,142.0,T2
656546,21.103,153.0,T3
656557,20.299,163.0,T3
656605,14.981,474.0,T1
656629,21.135,303.0,T3
656638,17.939,188.0,T2
656657,17.652,158.0,T2
656685,21.021,146.0,T3
656686,15.953,75.0,T1
656730,19.36,147.0,T2
656731,21.318,119.0,T3
656756,20.368,347.0,T3
656793,19.391,257.0,T2
656794,15.86,118.0,T1
656803,18.621,73.0,T2
656818,19.107,66.0,T2
656849,14.84,335.0,T1
656876,19.676,298.0,T3
656945,19.96,275.0,T3
656970,16.814,161.0,T1
656986,21.938,63.0,T3
657006,16.647,359.0,T1
657024,19.436,130.0,T2
657044,22.06,159.0,T3
657053,15.388,62.0,T1
657093,14.975,278.0,T1
657140,15.974,421.0,T1
657240,18.434,80.0,T2
657248,19.452,345.0,T2
657265,15.074,140.0,T1
657272,18.78,112.0,T2
657277,14.504,502.0,T1
657376,17.285,204.0,T2
657508,17.427,102.0,T2
657571,19.812,107.0,T3
657585,21.549,58.0,T3
657612,17.121,162.0,T1
657649,15.096,138.0,T1
657746,16.439,343.0,T1
657756,19.157,79.0,T2
657770,18.12,130.0,T2
658431,16.912,74.0,T1
658551,21.846,74.0,T3
659262,16.437,75.0,T1
659275,17.151,112.0,T1
660271,21.727,381.0,T3
660730,14.196,81.0,T1
660761,22.121,242.0,T3
660787,18.942,95.0,T2
660813,17.983,102.0,T2
660853,20.774,135.0,T3
660906,20.487,52.0,T3
661269,18.164,147.0,T2
661309,19.913,145.0,T3
661383,17.472,82.0,T2
661395,16.966,130.0,T1
661403,22.793,91.0,T3
661440,18.857,60.0,T2
661527,15.757,110.0,T1
662253,21.589,140.0,T3
663158,18.23,144.0,T2
663372,17.299,277.0,T2
663385,18.609,93.0,T2
663423,19.65,122.0,T3
663432,20.758,87.0,T3
663436,18.79,151.0,T2
663455,15.686,208.0,T1
663460,17.647,425.0,T2
663474,15.947,284.0,T1
663485,14.077,122.0,T1
663546,15.569,84.0,T1
663556,17.182,302.0,T2
663558,19.548,109.0,T2
663559,19.716,188.0,T3
663574,19.353,119.0,T2
663738,15.413,406.0,T1
663752,18.373,70.0,T2
663753,16.064,50.0,T1
663765,17.727,123.0,T2
663773,16.844,57.0,T1
663776,19.145,455.0,T2
663804,16.366,63.0,T1
663855,18.691,202.0,T2
663903,14.614,366.0,T1
663986,20.436,183.0,T3
663989,14.538,83.0,T1
664062,18.395,226.0,T2
664076,21.722,54.0,T3
664092,18.143,110.0,T2
664123,19.903,170.0,T3
664139,15.901,161.0,T1
664141,15.733,422.0,T1
664161,18.762,70.0,T2
664199,21.416,147.0,T3
664208,20.247,263.0,T3
664285,17.758,452.0,T2
664294,20.048,106.0,T3
664299,18.599,297.0,T2
664337,16.89,94.0,T1
664353,16.427,398.0,T1
664747,21.897,194.0,T3
664776,17.97,57.0,T2
664854,23.103,123.0,T3
664875,18.685,193.0,T2
664944,17.964,64.0,T2
664948,21.142,70.0,T3
665001,16.011,98.0,T1
665152,17.223,274.0,T2
665621,14.793,110.0,T1
665625,18.91,58.0,T2
665665,14.563,217.0,T1
665795,17.392,174.0,T2
665871,17.745,113.0,T2
665896,17.289,87.0,T2
666120,16.221,293.0,T1
666129,16.7,206.0,T1
666142,16.665,117.0,T1
666157,17.087,290.0,T1
666159,16.539,139.0,T1
666168,20.372,66.0,T3
666200,16.116,213.0,T1
666201,20.7,410.0,T3
666204,23.914,88.0,T3
666214,17.475,79.0,T2
666374,17.268,221.0,T2
666721,16.118,80.0,T1
666808,22.272,234.0,T3
666818,19.983,75.0,T3
666974,21.406,79.0,T3
667297,20.707,167.0,T3
667427,20.603,182.0,T3
667463,16.698,160.0,T1
667498,17.716,52.0,T2
668338,15.672,54.0,T1
668665,19.875,55.0,T3
668676,15.414,318.0,T1
668678,16.914,326.0,T1
668868,18.195,69.0,T2
668881,17.112,284.0,T1
668933,18.415,288.0,T2
668948,13.823,96.0,T1
669022,18.652,228.0,T2
669060,17.147,335.0,T1
669084,15.504,61.0,T1
669145,18.105,141.0,T2
669160,16.698,72.0,T1
669169,16.735,340.0,T1
669203,21.088,390.0,T3
669211,14.405,199.0,T1
669212,15.78,146.0,T1
669270,16.975,171.0,T1
669276,20.065,97.0,T3
669302,15.153,438.0,T1
669330,19.683,197.0,T3
669358,21.447,68.0,T3
669373,15.79,289.0,T1
669395,18.98,259.0,T2
669424,19.042,137.0,T2
669432,17.255,311.0,T2
669456,14.55,316.0,T1
669459,17.923,111.0,T2
669461,15.519,148.0,T1
669467,19.249,323.0,T2
669618,21.688,103.0,T3
669674,12.758,123.0,T1
669711,21.223,52.0,T3
669713,17.821,65.0,T2
669912,18.23,194.0,T2
669920,16.076,196.0,T1
669923,16.457,310.0,T1
669952,19.332,279.0,T2
670036,19.408,146.0,T2
670059,15.616,74.0,T1
670090,20.398,101.0,T3
670124,16.488,225.0,T1
670167,20.716,210.0,T3
670174,16.29,241.0,T1
670280,20.531,135.0,T3
670810,15.782,50.0,T1
670912,16.518,168.0,T1
670950,17.595,189.0,T2
670955,15.192,57.0,T1
670970,19.018,72.0,T2
670990,21.556,147.0,T3
671345,19.574,174.0,T2
671790,18.821,70.0,T2
672282,16.246,363.0,T1
672335,22.482,196.0,T3
672391,18.421,126.0,T2
672578,18.704,184.0,T2
672710,15.878,228.0,T1
672715,16.423,62.0,T1
672851,15.315,252.0,T1
674072,18.758,96.0,T2
675627,17.77,68.0,T2
675911,16.891,281.0,T1
675916,22.614,172.0,T3
675921,20.672,121.0,T3
676050,17.3,109.0,T2
676092,18.582,131.0,T2
676194,19.814,82.0,T3
676265,16.119,114.0,T1
676477,16.248,140.0,T1
676534,18.974,80.0,T2
676596,15.179,132.0,T1
676641,13.713,61.0,T1
676664,21.133,193.0,T3
676684,18.997,216.0,T2
676710,16.967,177.0,T1
676714,17.81,159.0,T2
676760,19.624,183.0,T3
676831,17.584,54.0,T2
676879,14.5,333.0,T1
677053,19.458,89.0,T2
677651,21.173,319.0,T3
677865,17.659,51.0,T2
678394,16.253,238.0,T1
680686,19.673,398.0,T3
680694,18.363,324.0,T2
680704,14.655,188.0,T1
680739,16.781,154.0,T1
681217,15.506,73.0,T1
681806,15.666,161.0,T1
681810,18.945,50.0,T2
681911,24.456,175.0,T3
682051,17.588,188.0,T2
682171,19.745,180.0,T3
682847,14.668,50.0,T1
685503,18.298,91.0,T2
686610,18.646,106.0,T2
686752,16.351,154.0,T1
686973,14.038,59.0,T1
689225,18.538,168.0,T2
693821,14.772,120.0,T1
