year,tercile,coef_ols,se_ols,pval_ols,coef_wls,se_wls,pval_wls,sample
2018,T2,-0.0007914031754011321,0.0017831877442254335,0.6572261374738093,-0.0010575086670579932,0.0012176756368824332,0.3852458810411603,Main (≥50)
2018,T1,-0.00021444063646576842,0.0021591098383408193,0.7893259631200766,-0.0009658882006977335,0.0015798692370663932,0.9537605496401049,Main (≥50)
2018,T3,-0.0035457835693729445,0.0024323283519620998,0.25760243225836277,-0.002276653984831186,0.002007436207919757,0.5437123211294352,Main (≥50)
2019,T2,-0.0013636520695896755,0.0016905048179680574,0.41996360838458346,-0.0005940427633734415,0.0012476716948846894,0.6340410689810447,Main (≥50)
2019,T1,-0.0014796436603611784,0.0020877070628961703,0.9556985183315709,-0.0022819104826609523,0.0016315378444414531,0.3010177989617484,Main (≥50)
2019,T3,-0.0028636948712354744,0.0024042672072188452,0.532760082493343,-0.0023450459570804627,0.0017868621306238238,0.3272403675688358,Main (≥50)
2021,T2,-0.0006966458435495465,0.0017343791263058775,0.6879715275875813,-0.0001342500502965774,0.0009199070545351089,0.88398474014446,Main (≥50)
2021,T1,-0.0016210714728022752,0.002049135481119103,0.6519459384188948,-0.001955905170278592,0.0012816658333904985,0.15538291979541308,Main (≥50)
2021,T3,-0.003894204415266774,0.0020687582398742858,0.12235220013646297,-0.00251648774767371,0.0015484259401568105,0.12408987446275965,Main (≥50)
2022,T2,0.0,0.0,,0.0,0.0,,Main (≥50)
2022,T1,0.0,0.0,,0.0,0.0,,Main (≥50)
2022,T3,0.0,0.0,,0.0,0.0,,Main (≥50)
2023,T2,0.005010122649790764,0.0020079839063472,0.012673627113382935,0.0042818105757719506,0.001066400518498112,6.16275823261958e-05,Main (≥50)
2023,T1,0.0059697529852067496,0.002400766424820966,0.6894074359542239,0.004184433569934521,0.001418688572756628,0.9452841596036397,Main (≥50)
2023,T3,0.009844584768980102,0.003094706974020451,0.11840868812396188,0.007319050543422435,0.0016453364555246526,0.0650470419614102,Main (≥50)
2024,T2,0.008549078122826992,0.0019735083437454042,1.55267090826694e-05,0.008320789665380784,0.001441987746794596,9.1699645654586e-09,Main (≥50)
2024,T1,0.008679136599371895,0.0028320317323073897,0.9633754208620546,0.006940428889516839,0.001743134957282507,0.428523867262411,Main (≥50)
2024,T3,0.00926046664644564,0.002716723724104049,0.7934604427252085,0.009516690546829744,0.002264914054132833,0.5975509078543446,Main (≥50)
2018,T2,-0.0010192145076086568,0.0019804249526471853,0.606884764503733,-0.0009890943129524457,0.0012987088136884423,0.4464312082671773,Strict (≥100)
2018,T1,-0.0008474450935255869,0.0023833023213705104,0.9425551355128996,-0.001175020748621592,0.001681390685453651,0.9119664633538123,Strict (≥100)
2018,T3,-0.003371095661837232,0.0027902787213575095,0.39944080095531365,-0.001896354845110451,0.002235203931285193,0.6848824765259522,Strict (≥100)
2019,T2,-0.0014256313829938809,0.001826290267544777,0.4351635350376355,-0.0006014228162719967,0.001341604113373259,0.6540175890905715,Strict (≥100)
2019,T1,-0.0011751121241892512,0.002296052067704696,0.9131322870699501,-0.002321303680868146,0.0017705875115119445,0.3315400411411482,Strict (≥100)
2019,T3,-0.000962940247334537,0.0026510797144471297,0.8614753353582754,-0.0004265885797364634,0.0019520069680926946,0.9286449064542619,Strict (≥100)
2021,T2,-0.0018611594376893006,0.0013095938491246338,0.15549454058230205,2.0924869765709438e-05,0.0010039938217083514,0.9833750289761827,Strict (≥100)
2021,T1,-0.0013615984426690881,0.0017463194685324352,0.7748716303732384,-0.0018507869948171736,0.0013900207801738243,0.1783532000096164,Strict (≥100)
2021,T3,-0.0034434132941828163,0.0019253411888694044,0.411331537311888,-0.0019600739877951106,0.001838427662971851,0.2814244643554731,Strict (≥100)
2022,T2,0.0,0.0,,0.0,0.0,,Strict (≥100)
2022,T1,0.0,0.0,,0.0,0.0,,Strict (≥100)
2022,T3,0.0,0.0,,0.0,0.0,,Strict (≥100)
2023,T2,0.006813102638085818,0.0025669911835170165,0.008043800873672513,0.004565117970979138,0.0011777935535314513,0.00011122623417447741,Strict (≥100)
2023,T1,0.005737215277275452,0.0029437273638215143,0.7148061568551625,0.004261097917790537,0.001555207029855503,0.8450421264272265,Strict (≥100)
2023,T3,0.010174095107620455,0.0040320310173244615,0.40466723055720655,0.007325064328004681,0.0018665187923036753,0.13946163132856126,Strict (≥100)
2024,T2,0.009308959231771599,0.0020092176395092513,3.945206684896618e-06,0.00863507344801432,0.001565651110069865,4.158022592903876e-08,Strict (≥100)
2024,T1,0.008498936219891427,0.0030233342230575975,0.7887984401271924,0.006865207333402338,0.0018763057745523758,0.3457086283755053,Strict (≥100)
2024,T3,0.01188316907553281,0.00290432067075282,0.3755912998875519,0.011400995536384654,0.0026637996078551994,0.2992967431502178,Strict (≥100)
2018,T2,-0.0022717438172575287,0.001676215280404869,0.17572785453665807,-0.0025298501207573205,0.0014615625212465457,0.08386896631322305,Balanced Panel
2018,T1,-0.00027505450910890374,0.0021288860331494775,0.34859009852379264,-0.00033167830183107377,0.0019301563577247434,0.2551193574555193,Balanced Panel
2018,T3,-0.0017968099983620982,0.0029441282274331017,0.8718874272452044,-0.0014595911084590773,0.0025105386798510007,0.6700044327950647,Balanced Panel
2019,T2,-0.0020777433324565583,0.0018388889486441868,0.2588764697486332,-0.0016732495843518713,0.0017727756054049507,0.3455398759182833,Balanced Panel
2019,T1,0.0002842277669453915,0.0023966999255115922,0.32468533869802574,-0.0011315764324994725,0.0022139849788878293,0.8067854546911957,Balanced Panel
2019,T3,-0.004518312446788034,0.0031675247020700676,0.44124285791466233,-0.003975468219678632,0.002750769248324535,0.40288974199224037,Balanced Panel
2021,T2,-0.0012749521338584762,0.0014396420499784765,0.37610947253638427,-0.0010632902639940865,0.0013183052403923355,0.42017157291494245,Balanced Panel
2021,T1,-0.0014381634063864446,0.0020930390191115484,0.9378658390140686,-0.0008790447836773256,0.002046717105190202,0.9282948821833243,Balanced Panel
2021,T3,-0.00605718991816858,0.002480408882160613,0.0542244881913061,-0.004950378886279879,0.0024424554389378384,0.11191750078797513,Balanced Panel
2022,T2,0.0,0.0,,0.0,0.0,,Balanced Panel
2022,T1,0.0,0.0,,0.0,0.0,,Balanced Panel
2022,T3,0.0,0.0,,0.0,0.0,,Balanced Panel
2023,T2,0.006303967266096896,0.006466748120852275,0.32995371948457075,0.001434865615521519,0.0016240826892448483,0.37724754398919114,Balanced Panel
2023,T1,0.005986363632198242,0.006768574423533237,0.9625866295921881,0.005371653658371307,0.0020902288222072523,0.060021981165000016,Balanced Panel
2023,T3,0.004481214885873677,0.006886058501571128,0.7913104583816672,0.005547364581355938,0.002281659912196946,0.07187356669455203,Balanced Panel
2024,T2,0.007506589686086833,0.0025277672961361193,0.003074591925410264,0.007536006507716825,0.0018827381222491421,6.872336798924294e-05,Balanced Panel
2024,T1,0.009737235384000634,0.004065710065534022,0.5834067809042751,0.007402535748180388,0.002348181759235207,0.9546874555784617,Balanced Panel
2024,T3,0.008765652790367836,0.0038293052366665677,0.7423993082770668,0.009111285270603776,0.003505606188133261,0.6532993503073956,Balanced Panel
